,Major1,Gender,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
39,Psychology,M,48,126,27.586,3088,2556,54.713,0.504198677863141,0.3994492372723783,0.6459509863510986,0.10474944059076269,0.1417523084879576,3.308761154238252e-08
40,Chemistry,M,20,20,50.0,3088,2556,54.713,0.913860103626943,0.6818334383913466,1.2551508325334404,0.23202666523559645,0.34129072890649736,0.6169813105777335
41,Master of Policy Studies,M,2,9,18.182,3088,2556,54.713,0.332312764955252,0.13274267236206042,1.189874715665831,0.1995700925931916,0.857561950710579,0.09909798339967202
42,Mathematics,M,44,32,57.895,3088,2556,54.713,1.0581538041996184,0.877836594787728,1.2875000387561557,0.18031720941189033,0.22934623455653735,0.5310440746627889
43,Mathematical Thinking and Visualization,M,42,30,58.333,3088,2556,54.713,1.0661701208981003,0.8816863033922299,1.301822656020055,0.1844838175058704,0.23565253512195472,0.4881119326564324
44,Computing and Software Systems,M,523,195,72.841,3088,2556,54.713,1.3313337999913404,1.2659504904552268,1.4006162865623013,0.0653833095361136,0.06928248657096092,1.1932477755746642e-28
45,Environmental Studies,M,12,10,54.545,3088,2556,54.713,0.9969382948657559,0.7011259112296095,1.4704337749537206,0.29581238363614637,0.4734954800879647,0.9356911019729611
46,Accounting,M,11,11,50.0,3088,2556,54.713,0.913860103626943,0.6231837098222038,1.400254868688093,0.2906763938047392,0.48639476506114987,0.7414872188791708
47,Master of Fine Arts in Creative Writing and Poetics,M,2,21,8.696,3088,2556,54.713,0.1589321919351205,0.060256889957229554,0.6277744003451472,0.09867530197789096,0.46884220841002666,0.006168258926974997
48,Physics,M,17,8,68.0,3088,2556,54.713,1.2428497409326427,0.9637278782481167,1.632347058349614,0.279121862684526,0.38949731741697136,0.09196309782340252
49,Electrical Engineering,M,155,25,86.111,3088,2556,54.713,1.5738701784686242,1.4781431288500293,1.6770510197376804,0.0957270496185949,0.10318084126905624,4.1670012589459903e-45
50,Business,M,458,284,61.725,3088,2556,54.713,1.1281615295448515,1.0613602703863485,1.1999945618569452,0.06680125915850299,0.0718330323120937,0.00011271667190526309
51,Education,M,29,139,17.262,3088,2556,54.713,0.3154993214902541,0.23035710045688002,0.44444960301167374,0.0851422210333741,0.12895028152141963,1.0703043237914282e-11
52,All Majors,M,3088,2556,54.713,3088,2556,54.713,1.0,0.9669942808607411,1.0341322795724084,0.03300571913925887,0.034132279572408386,1.0
53,Mechanical Engineering,M,82,13,86.316,3088,2556,54.713,1.577611126261249,1.4529474759924577,1.7155693882206862,0.12466365026879145,0.13795826195943706,4.566163015666931e-27
