,Major1,Underrepresented,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
0,Nursing,International                                     ,1,174,0.571,276,5368,4.89,0.11685300207039337,0.035353872764452184,0.8622295347379838,0.08149912930594119,0.7453765326675904,0.03220300720768841
1,Business (MBA),International                                     ,13,68,16.049,276,5368,4.89,3.2819824655573444,2.0498392801123084,5.578839722544164,1.232143185445036,2.29685725698682,1.8412520053008444e-06
2,Biology,International                                     ,3,179,1.648,276,5368,4.89,0.3370759675107501,0.1378991995945598,1.1121149402452388,0.1991767679161903,0.7750389727344887,0.0783364776870683
3,Psychology,International                                     ,2,172,1.149,276,5368,4.89,0.23504914209561883,0.08502555182493168,1.0067920558237795,0.15002359027068715,0.7717429137281606,0.051268182999885406
4,Chemistry,International                                     ,3,37,7.5,276,5368,4.89,1.533695652173913,0.6441457441116004,4.834218577286867,0.8895499080623125,3.300522925112954,0.26934892948612144
5,Master of Policy Studies,International                                     ,2,9,18.182,276,5368,4.89,3.718050065876153,1.4742235287458256,13.367510510611815,2.243826537130327,9.649460444735663,0.008047796352705732
6,Mathematics,International                                     ,1,75,1.316,276,5368,4.89,0.26906941266209,0.08182982656396605,1.9605287954978554,0.18723958609812397,1.6914593828357654,0.2588363963911592
7,Mathematical Thinking and Visualization,International                                     ,0,72,0.0,276,5368,4.89,0.0,0.008911827668019234,2.2329467909476466,0.008911827668019234,2.2329467909476466,0.16456494213346096
8,Computing and Software Systems,International                                     ,130,588,18.106,276,5368,4.89,3.7025150377457505,3.0565854109787143,4.497737294739095,0.6459296267670362,0.7952222569933447,2.3677587241124037e-40
9,Environmental Studies,International                                     ,0,22,0.0,276,5368,4.89,0.0,0.02933607807926463,7.042509727909268,0.02933607807926463,7.042509727909268,0.5728061774109969
10,Accounting,International                                     ,1,21,4.545,276,5368,4.89,0.9295125164690382,0.28910503333520216,6.414455378055438,0.640407483133836,5.4849428615864,0.6961454687729853
11,Master of Fine Arts in Creative Writing and Poetics,International                                     ,2,21,8.696,276,5368,4.89,1.7781978575929425,0.6694513707277506,7.050068867116815,1.1087464868651917,5.271871009523872,0.19642245505076783
12,Physics,International                                     ,0,25,0.0,276,5368,4.89,0.0,0.0257902933650174,6.236808982645042,0.0257902933650174,6.236808982645042,0.5140372914319808
13,Electrical Engineering,International                                     ,10,170,5.556,276,5368,4.89,1.1360708534621577,0.6530091210626947,2.159934298802238,0.48306173239946304,1.0238634453400801,0.573108144065485
14,Business,International                                     ,29,713,3.908,276,5368,4.89,0.7992304386890112,0.5592258648998203,1.17638596772662,0.24000457378919093,0.37715552903760874,0.26973544582256215
15,Education,International                                     ,3,165,1.786,276,5368,4.89,0.36516563146997927,0.14948186284302126,1.2035065296680814,0.215683768626958,0.8383408981981021,0.1069968953821296
16,All Majors,International                                     ,276,5368,4.89,276,5368,4.89,1.0,0.8499668337568861,1.1765164948612894,0.1500331662431139,0.1765164948612894,1.0
17,Mechanical Engineering,International                                     ,2,93,2.105,276,5368,4.89,0.430511060259344,0.1565124526835282,1.8260822872506155,0.2739986075758158,1.3955712269912715,0.3177128738563306
18,Nursing,Not URM                                           ,131,44,74.857,4084,1560,72.36,1.0345095844410241,0.9491076712816309,1.1296828393774498,0.08540191315939327,0.0951732549364257,0.43281147479519333
19,Business (MBA),Not URM                                           ,57,24,70.37,4084,1560,72.36,0.9725033554612399,0.8466105340635642,1.1228308784161152,0.12589282139767566,0.15032752295487528,0.7251006464006695
20,Biology,Not URM                                           ,137,45,75.275,4084,1560,72.36,1.0402804834734316,0.9567703998260886,1.1330434922422827,0.08351008364734303,0.09276300876885113,0.34950863087639417
