,Major1,First_Generation_4_Yr,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
0,Nursing,N,43,49,46.739,3070,2227,57.957,0.8064403059056792,0.6527657238633366,1.0084906872405044,0.15367458204234252,0.20205038133482522,0.05959566364101467
1,Business (MBA),N,45,24,65.217,3070,2227,57.957,1.1252655431242036,0.9507629447255072,1.3418721442547048,0.17450259839869642,0.21660660113050123,0.1658854587945785
2,Biology,N,102,72,58.621,3070,2227,57.957,1.0114455801415254,0.8930505514374928,1.1500267175584906,0.11839502870403262,0.1385811374169652,0.8362305122218021
3,Psychology,N,87,75,53.704,3070,2227,57.957,0.926607552177585,0.8042696406869163,1.0730893630102456,0.12233791149066864,0.14648181083266065,0.31680897542581876
4,Chemistry,N,25,14,64.103,3070,2227,57.957,1.10603023469473,0.8830162659584173,1.4049250192863585,0.22301396873631263,0.29889478459162855,0.3629202826915292
5,Master of Policy Studies,N,4,4,50.0,3070,2227,57.957,0.8627035830618893,0.4845126766081994,1.722251047931745,0.3781909064536899,0.8595474648698557,0.7797164557885521
6,Mathematics,N,48,21,69.565,3070,2227,57.957,1.2002832459991504,1.0296802504157585,1.407798521580888,0.17060299558339187,0.20751527558173755,0.019990769759189
7,Mathematical Thinking and Visualization,N,41,27,60.294,3070,2227,57.957,1.0403190266334548,0.8623306650967756,1.2669896822511766,0.17798836153667918,0.22667065561772182,0.6520206259609669
8,Computing and Software Systems,N,456,219,67.556,3070,2227,57.957,1.1656083966702862,1.1012939907302344,1.2343883459170784,0.06431440594005178,0.0687799492467922,1.3271821879132325e-07
9,Environmental Studies,N,16,5,76.19,3070,2227,57.957,1.3145959360943076,1.0480319892566576,1.6728318155522839,0.26656394683764995,0.3582358794579763,0.018610341749696432
10,Accounting,N,13,6,68.421,3070,2227,57.957,1.1805417452425855,0.8877432350495342,1.6071423553714417,0.29279851019305125,0.4266006101288562,0.2405725583252385
11,Master of Fine Arts in Creative Writing and Poetics,N,19,2,90.476,3070,2227,57.957,1.5610826741119903,1.3640621994197828,1.795088565879924,0.19702047469220751,0.23400589176793374,1.636186430780688e-10
12,Physics,N,15,5,75.0,3070,2227,57.957,1.294055374592834,1.0190904865554529,1.6698605405997853,0.27496488803738117,0.37580516600695124,0.03485211686071953
13,Electrical Engineering,N,86,79,52.121,3070,2227,57.957,0.8993031290099696,0.7781637236621523,1.0449454980501574,0.12113940534781731,0.1456423690401878,0.1690274502347473
14,Business,N,362,337,51.788,3070,2227,57.957,0.8935585037722573,0.8294539483724632,0.9637692556110362,0.0641045553997941,0.0702107518387789,0.0034577275993644325
15,Education,N,74,79,48.366,3070,2227,57.957,0.8345106555108472,0.7103425901656195,0.9870917906633834,0.12416806534522773,0.15258113515253613,0.034450835743182716
16,All Majors,N,3070,2227,57.957,3070,2227,57.957,1.0,0.968087603750786,1.0329643682302838,0.03191239624921405,0.032964368230283814,1.0
17,Mechanical Engineering,N,64,26,71.111,3070,2227,57.957,1.2269562070213538,1.0767141565752782,1.4042658189687274,0.15024205044607553,0.1773096119473736,0.0022820216970146343
18,Nursing,Y,49,43,53.261,2227,3070,42.043,1.2668290349661273,1.04978099452042,1.542917350425103,0.21704804044570736,0.2760883154589757,0.014108712273193616
19,Business (MBA),Y,24,45,34.783,2227,3070,42.043,0.8273169207942055,0.608686222055913,1.1547775225029944,0.21863069873829244,0.3274606017087889,0.2805693945184534
20,Biology,Y,72,102,41.379,2227,3070,42.043,0.984221854048279,0.8263161638062242,1.1815502178718844,0.1579056902420548,0.1973283638236054,0.8955633181255016
21,Psychology,Y,75,87,46.296,2227,3070,42.043,1.101174142260806,0.934046386986027,1.3071672739603608,0.16712775527477886,0.2059931316995549,0.24434764702883593
22,Chemistry,Y,14,25,35.897,2227,3070,42.043,0.8538334887683787,0.5790100330342461,1.3164364984491206,0.2748234557341326,0.46260300968074186,0.5170635965953458
23,Master of Policy Studies,Y,4,4,50.0,2227,3070,42.043,1.1892680736416705,0.6676277685327445,2.3749249004133546,0.521640305108926,1.185656826771684,0.4765100172127361
24,Mathematics,Y,21,48,30.435,2227,3070,42.043,0.7239023056949299,0.5170690893145228,1.0468703864781799,0.20683321638040708,0.32296808078325,0.08811653732245223
25,Mathematical Thinking and Visualization,Y,27,41,39.706,2227,3070,42.043,0.9444187643625029,0.7138087025335987,1.2771078960769429,0.2306100618289042,0.3326891317144399,0.7552011658396927
26,Computing and Software Systems,Y,219,456,32.444,2227,3070,42.043,0.7717028388963728,0.6900856770703112,0.8654147231291685,0.0816171618260616,0.09371188423279564,8.091746073544806e-06
27,Environmental Studies,Y,5,16,23.81,2227,3070,42.043,0.5663181303055573,0.2957090727345986,1.252009434331617,0.2706090575709587,0.6856913040260597,0.17718193474159272
28,Accounting,Y,6,13,31.579,2227,3070,42.043,0.751116678089476,0.42291798679229636,1.4862665055807671,0.32819869129717966,0.7351498274912911,0.4690290572969382
29,Master of Fine Arts in Creative Writing and Poetics,Y,2,19,9.524,2227,3070,42.043,0.22652725212222294,0.08624897765206122,0.8872834655727986,0.14027827447016172,0.6607562134505757,0.03068914058659204
30,Physics,Y,5,15,25.0,2227,3070,42.043,0.5946340368208353,0.31201968094180454,1.30514117028336,0.2826143558790307,0.7105071334625247,0.2185250016788115
31,Electrical Engineering,Y,79,86,47.879,2227,3070,42.043,1.1388142765780844,0.9719680751344277,1.3427594492857882,0.1668462014436567,0.20394517270770374,0.10629353522244861
32,Business,Y,337,362,48.212,2227,3070,42.043,1.1467334501208668,1.0560668574525187,1.24677565801336,0.09066659266834809,0.10004220789249318,0.0011618965226911561
33,Education,Y,79,74,51.634,2227,3070,42.043,1.2281330433685225,1.0539594069620764,1.4394784237874023,0.17417363640644612,0.21134538041887985,0.008771770247617045
34,All Majors,Y,2227,3070,42.043,2227,3070,42.043,1.0,0.9562764221572497,1.0457227396071471,0.04372357784275027,0.04572273960714712,1.0
35,Mechanical Engineering,Y,26,64,28.889,2227,3070,42.043,0.6871326647707429,0.504821562177128,0.9606963730975463,0.18231110259361483,0.27356370832680343,0.027507840551753357
