,Major1,Veteran,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
71,Mechanical Engineering,DISCHRGD VET,2,93,2.105,90,5554,1.595,1.320233918128655,0.472681273796236,5.644006439232088,0.8475526443324191,4.323772521103433,0.43803225662387324
72,Nursing,NATL GUARD,0,175,0.0,4,5640,0.071,0.0,0.19400489132261314,66.05971018182947,0.19400489132261314,66.05971018182947,0.39120079477434466
73,Business (MBA),NATL GUARD,0,81,0.0,4,5640,0.071,0.0,0.4195765433826064,141.6352843449674,0.4195765433826064,141.6352843449674,0.16907666930060217
74,Biology,NATL GUARD,1,181,0.549,4,5640,0.071,7.752747252747253,1.6356582177469057,65.03863386574821,6.1170890350003475,57.285886613000955,0.013003562295022655
75,Psychology,NATL GUARD,0,174,0.0,4,5640,0.071,0.0,0.19512085860295275,66.43684435426484,0.19512085860295275,66.43684435426484,0.38907837796450095
76,Chemistry,NATL GUARD,0,40,0.0,4,5640,0.071,0.0,0.8512808260791837,282.68592803498115,0.8512808260791837,282.68592803498115,0.06413452412737067
77,Master of Policy Studies,NATL GUARD,0,11,0.0,4,5640,0.071,0.0,3.124808281536906,955.0232633331327,3.124808281536906,955.0232633331327,0.006135395154044565
78,Mathematics,NATL GUARD,0,76,0.0,4,5640,0.071,0.0,0.44723610375323336,150.81254013773153,0.44723610375323336,150.81254013773153,0.15617220277811167
79,Mathematical Thinking and Visualization,NATL GUARD,0,72,0.0,4,5640,0.071,0.0,0.4721355407678372,159.05738825998353,0.4721355407678372,159.05738825998353,0.14581665127042068
80,Computing and Software Systems,NATL GUARD,0,718,0.0,4,5640,0.071,0.0,0.047253428155422245,16.181562662048794,0.047253428155422245,16.181562662048794,0.9281889092078717
81,Environmental Studies,NATL GUARD,0,22,0.0,4,5640,0.071,0.0,1.5524792597917874,502.2027519392285,1.5524792597917874,502.2027519392285,0.023926272809837938
82,Accounting,NATL GUARD,0,22,0.0,4,5640,0.071,0.0,1.5524792597917874,502.2027519392285,1.5524792597917874,502.2027519392285,0.023926272809837938
83,Master of Fine Arts in Creative Writing and Poetics,NATL GUARD,0,23,0.0,4,5640,0.071,0.0,1.484552236873553,481.4379995072154,1.484552236873553,481.4379995072154,0.025890654394382102
84,Physics,NATL GUARD,0,25,0.0,4,5640,0.071,0.0,1.3650922814559967,444.6641336432311,1.3650922814559967,444.6641336432311,0.02994563697841824
85,Electrical Engineering,NATL GUARD,0,180,0.0,4,5640,0.071,0.0,0.18861120936767028,64.23649116351382,0.18861120936767028,64.23649116351382,0.40173577434799346
86,Business,NATL GUARD,0,742,0.0,4,5640,0.071,0.0,0.04572469268724502,15.658986633725412,0.04572469268724502,15.658986633725412,0.9106714320099613
87,Education,NATL GUARD,0,168,0.0,4,5640,0.071,0.0,0.20209591101055244,68.79328411806037,0.20209591101055244,68.79328411806037,0.376235026880987
88,All Majors,NATL GUARD,4,5640,0.071,4,5640,0.071,1.0,0.2709078683948288,3.691291825243598,0.7290921316051713,2.691291825243598,1.0
89,Mechanical Engineering,NATL GUARD,0,95,0.0,4,5640,0.071,0.0,0.3576439462999964,121.01572803837233,0.3576439462999964,121.01572803837233,0.20482519481471828
90,Nursing,NOT A VET,158,17,90.286,5290,354,93.728,0.963275182284634,0.9175619119042521,1.011875199412302,0.045713270380381976,0.04860001712766804,0.13701665789979414
91,Business (MBA),NOT A VET,70,11,86.42,5290,354,93.728,0.9220285187518962,0.8468422829379253,1.0058185759024068,0.07518623581397088,0.08379005715051058,0.06758347703813387
92,Biology,NOT A VET,168,14,92.308,5290,354,93.728,0.9848480442053221,0.9442110885286542,1.0276917707538933,0.04063695567666792,0.04284372654857116,0.4863541950013953
93,Psychology,NOT A VET,161,13,92.529,5290,354,93.728,0.9872063968015993,0.9462173168341484,1.030436435336808,0.040989079967450825,0.04323003853520879,0.5608532395683059
94,Chemistry,NOT A VET,36,4,90.0,5290,354,93.728,0.960226843100189,0.8681484410808911,1.064980240527963,0.09207840201929796,0.1047533974277739,0.4518684617585169
95,Master of Policy Studies,NOT A VET,9,2,81.818,5290,354,93.728,0.8729334937274447,0.6760315470676754,1.149100393820722,0.19690194665976923,0.2761669000932774,0.35081019323914353
96,Mathematics,NOT A VET,69,7,90.789,5290,354,93.728,0.968649885583524,0.9024613724399105,1.0410624143104639,0.06618851314361351,0.07241252872693982,0.39207579946554705
97,Mathematical Thinking and Visualization,NOT A VET,66,6,91.667,5290,354,93.728,0.9780088216761184,0.9129406844053314,1.049018878424502,0.06506813727078697,0.07101005674838368,0.5419850471930547
98,Computing and Software Systems,NOT A VET,684,34,95.265,5290,354,93.728,1.0163961013316765,0.9986545927435624,1.0345122160836526,0.017741508588114074,0.018116114751976164,0.0702398439700563
99,Environmental Studies,NOT A VET,21,1,95.455,5290,354,93.728,1.0184224093486853,0.9323426769049218,1.1147965655261454,0.08607973244376355,0.09637415617746004,0.6719415307002544
100,Accounting,NOT A VET,19,3,86.364,5290,354,93.728,0.9214297989345248,0.7862134861674356,1.087494685221549,0.13521631276708923,0.1660648862870242,0.3439233949887185
101,Master of Fine Arts in Creative Writing and Poetics,NOT A VET,22,1,95.652,5290,354,93.728,1.0205309443576889,0.9378048894467674,1.1126945699093291,0.08272605491092144,0.09216362555164026,0.6255866378776045
102,Physics,NOT A VET,20,5,80.0,5290,354,93.728,0.8535349716446126,0.7080294675874802,1.0390629101112168,0.14550550405713236,0.1855279384666042,0.11679338473099424
103,Electrical Engineering,NOT A VET,163,17,90.556,5290,354,93.728,0.9661541692921655,0.9215755710537952,1.013463599581353,0.04457859823837029,0.04730943028918755,0.159016467747651
104,Business,NOT A VET,711,31,95.822,5290,354,93.728,1.0223439434624655,1.0056768068381043,1.0393361100326541,0.016667136624361145,0.01699216657018865,0.008438895162677458
105,Education,NOT A VET,151,17,89.881,5290,354,93.728,0.9589567017733369,0.9115516477276205,1.0094905557156235,0.04740505404571638,0.0505338539422866,0.11023375048353487
106,All Majors,NOT A VET,5290,354,93.728,5290,354,93.728,1.0,0.990501984687088,1.0095890926618512,0.009498015312911945,0.00958909266185115,1.0
107,Mechanical Engineering,NOT A VET,89,6,93.684,5290,354,93.728,0.9995343746890857,0.9488702509195281,1.0536360302687462,0.050664123769557534,0.05410165557966051,0.9964739343108177
108,Nursing,RESERVIST,1,174,0.571,18,5626,0.319,1.7917460317460319,0.4978265344196501,13.676811300867945,1.2939194973263817,11.885065269121913,0.25648772249431284
109,Business (MBA),RESERVIST,0,81,0.0,18,5626,0.319,0.0,0.11430307014484103,30.771763330262225,0.11430307014484103,30.771763330262225,0.6595464505857956
110,Biology,RESERVIST,1,181,0.549,18,5626,0.319,1.7228327228327232,0.47861063819369565,13.155557050891334,1.2442220846390275,11.43272432805861,0.2764660831330944
111,Psychology,RESERVIST,1,173,0.575,18,5626,0.319,1.802043422733078,0.500698348041258,13.754667238684812,1.3013450746918198,11.952623815951734,0.25365420290687934
112,Chemistry,RESERVIST,0,40,0.0,18,5626,0.319,0.0,0.23198724919056726,61.396066246937615,0.23198724919056726,61.396066246937615,0.35067794792593243
113,Master of Policy Studies,RESERVIST,0,11,0.0,18,5626,0.319,0.0,0.8530196100322232,207.0646353570902,0.8530196100322232,207.0646353570902,0.06482009031304448
114,Mathematics,RESERVIST,0,76,0.0,18,5626,0.319,0.0,0.12184082907175314,32.76491791161271,0.12184082907175314,32.76491791161271,0.6276850302073846
115,Mathematical Thinking and Visualization,RESERVIST,0,72,0.0,18,5626,0.319,0.0,0.1286266764101269,34.55549451660594,0.1286266764101269,34.55549451660594,0.6011763033564679
116,Computing and Software Systems,RESERVIST,2,716,0.279,18,5626,0.319,0.8734138037759208,0.284211641578087,3.9681809594631243,0.5892021621978338,3.0947671556872036,0.9287522553324361
117,Environmental Studies,RESERVIST,1,21,4.545,18,5626,0.319,14.252525252525254,4.063844475478629,101.92515216634884,10.188680777046624,87.67262691382358,0.00024660954534706146
118,Accounting,RESERVIST,0,22,0.0,18,5626,0.319,0.0,0.42330131317127734,109.01415655888727,0.42330131317127734,109.01415655888727,0.17608447216040635
119,Master of Fine Arts in Creative Writing and Poetics,RESERVIST,0,23,0.0,18,5626,0.319,0.0,0.40475934571705185,104.51210231245716,0.40475934571705185,104.51210231245716,0.18630764478408912
120,Physics,RESERVIST,0,25,0.0,18,5626,0.319,0.0,0.3721550737314672,96.53788665523393,0.3721550737314672,96.53788665523393,0.2066306278340917
121,Electrical Engineering,RESERVIST,3,177,1.667,18,5626,0.319,5.225925925925926,1.9064915176010218,18.367532709876375,3.3194344083249048,13.141606783950449,0.0020942159706079603
122,Business,RESERVIST,2,740,0.27,18,5626,0.319,0.8451632225217132,0.27500698783794664,3.8401684104671356,0.5701562346837665,2.9950051879454227,0.9676481205711404
123,Education,RESERVIST,0,168,0.0,18,5626,0.319,0.0,0.05504666025557122,14.948589427694479,0.05504666025557122,14.948589427694479,0.9456401838248659
124,All Majors,RESERVIST,18,5626,0.319,18,5626,0.319,1.0,0.5255248481578234,1.902859595517516,0.4744751518421766,0.902859595517516,1.0
125,Mechanical Engineering,RESERVIST,0,95,0.0,18,5626,0.319,0.0,0.09742641974822473,26.29320772554325,0.09742641974822473,26.29320772554325,0.7418972763593434
126,Nursing,SPOUSE,3,172,1.714,14,5630,0.248,6.911020408163266,2.440536957729566,24.705568140444615,4.470483450433699,17.79454773228135,0.0005188006332143321
127,Business (MBA),SPOUSE,2,79,2.469,14,5630,0.248,9.954144620811286,3.178029533930489,44.8950834545405,6.776115086880797,34.94093883372921,0.00024106005472434224
128,Biology,SPOUSE,1,181,0.549,14,5630,0.248,2.2150706436420724,0.6002220328629593,17.07552863265145,1.6148486107791131,14.86045798900938,0.1730946864266345
129,Psychology,SPOUSE,0,174,0.0,14,5630,0.248,0.0,0.06711843898307324,18.607711664892676,0.06711843898307324,18.607711664892676,0.9382636311220114
130,Chemistry,SPOUSE,0,40,0.0,14,5630,0.248,0.0,0.29296150325274506,79.13864444857188,0.29296150325274506,79.13864444857188,0.27115202134788774
131,Master of Policy Studies,SPOUSE,0,11,0.0,14,5630,0.248,0.0,1.0770495554637816,266.94621201180826,1.0770495554637816,266.94621201180826,0.044141731352177326
132,Mathematics,SPOUSE,0,76,0.0,14,5630,0.248,0.0,0.15386929090711107,42.23227515551081,0.15386929090711107,42.23227515551081,0.5135669725580179
133,Mathematical Thinking and Visualization,SPOUSE,0,72,0.0,14,5630,0.248,0.0,0.16243865012772565,44.54031558529609,0.16243865012772565,44.54031558529609,0.4896236681687588
134,Computing and Software Systems,SPOUSE,1,717,0.139,14,5630,0.248,0.5614803024273777,0.15174550103441195,4.357586434388702,0.4097348013929657,3.7961061319613245,0.8091963717092543
135,Environmental Studies,SPOUSE,0,22,0.0,14,5630,0.248,0.0,0.5345326923681256,140.5247249332873,0.5345326923681256,140.5247249332873,0.12868825119914235
136,Accounting,SPOUSE,1,21,4.545,14,5630,0.248,18.324675324675326,5.093972972346847,132.35986403358652,13.230702352328478,114.03518870891119,8.887450170586865e-05
137,Master of Fine Arts in Creative Writing and Poetics,SPOUSE,0,23,0.0,14,5630,0.248,0.0,0.5111209014283591,134.72069953459825,0.5111209014283591,134.72069953459825,0.13674911551543686
138,Physics,SPOUSE,0,25,0.0,14,5630,0.248,0.0,0.4699529693043043,124.44052503914038,0.4699529693043043,124.44052503914038,0.15289116144529732
139,Electrical Engineering,SPOUSE,0,180,0.0,14,5630,0.248,0.0,0.06487892678742921,17.99151658146706,0.06487892678742921,17.99151658146706,0.9570220705618842
140,Business,SPOUSE,0,742,0.0,14,5630,0.248,0.0,0.015726902081539578,4.386250055111609,0.015726902081539578,4.386250055111609,0.3519973450773328
141,Education,SPOUSE,3,165,1.786,14,5630,0.248,7.198979591836735,2.5429225393276726,25.721798316879607,4.6560570525090625,18.52281872504287,0.00039863498091521595
142,All Majors,SPOUSE,14,5630,0.248,14,5630,0.248,1.0,0.4833802536595655,2.0687646887294635,0.5166197463404345,1.0687646887294635,1.0
143,Mechanical Engineering,SPOUSE,0,95,0.0,14,5630,0.248,0.0,0.12303783213744512,33.89035721815007,0.12303783213744512,33.89035721815007,0.6184077718557812
