,Major1,Ethnicity_Race,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
119,Master of Fine Arts in Creative Writing and Poetics,NOT IND,1,22,4.348,336,5308,5.953,0.7303312629399585,0.22709680674068203,5.054242347608396,0.5032344561992765,4.323911084668437,0.930606845398012
120,Physics,NOT IND,1,24,4.0,336,5308,5.953,0.6719047619047619,0.208424158059679,4.677106901813226,0.4634806038450829,4.005202139908464,0.9871815757194043
121,Electrical Engineering,NOT IND,5,175,2.778,336,5308,5.953,0.46660052910052907,0.2230651485950891,1.1715767205661693,0.24353538050543996,0.7049761914656403,0.1128008806157214
122,Business,NOT IND,26,716,3.504,336,5308,5.953,0.5885958156847645,0.40617513025462193,0.882460957821324,0.18242068543014256,0.29386514213655957,0.00955145834268786
123,Education,NOT IND,4,164,2.381,336,5308,5.953,0.39994331065759636,0.17905045701531702,1.1212850119971083,0.22089285364227934,0.7213417013395119,0.08627861981092894
124,All Majors,NOT IND,336,5308,5.953,336,5308,5.953,1.0,0.8637009750515264,1.1578081174915222,0.13629902494847357,0.15780811749152224,1.0
125,Mechanical Engineering,NOT IND,3,92,3.158,336,5308,5.953,0.5304511278195488,0.2188047492156653,1.7281841960497348,0.31164637860388356,1.1977330682301859,0.3563708568118481
126,Nursing,TWO OR MORE,12,163,6.857,396,5248,7.016,0.9773160173160174,0.5893856760628394,1.744589592458873,0.38793034125317793,0.7672735751428557,0.9598909567950434
127,Business (MBA),TWO OR MORE,0,81,0.0,396,5248,7.016,0.0,0.005526762806847163,1.3856108811790862,0.005526762806847163,1.3856108811790862,0.08389131038561984
128,Biology,TWO OR MORE,15,167,8.242,396,5248,7.016,1.1746586746586747,0.7440378902490404,1.964972232483304,0.43062078440963425,0.7903135578246294,0.4433522626960539
129,Psychology,TWO OR MORE,17,157,9.77,396,5248,7.016,1.3924880993846511,0.9063504600171783,2.2490352617528506,0.4861376393674728,0.8565471623681995,0.12457402020602942
130,Chemistry,TWO OR MORE,6,34,15.0,396,5248,7.016,2.1378787878787877,1.122670981794564,4.650920077792257,1.0152078060842238,2.5130412899134695,0.022662290891902487
131,Master of Policy Studies,TWO OR MORE,1,10,9.091,396,5248,7.016,1.295684113865932,0.4167414942307673,8.282967698351834,0.8789426196351648,6.987283584485902,0.41664636122264
132,Mathematics,TWO OR MORE,7,69,9.211,396,5248,7.016,1.3127325890483783,0.7027565503173088,2.7724373371048707,0.6099760387310695,1.4597047480564924,0.34085022910500007
133,Mathematical Thinking and Visualization,TWO OR MORE,4,68,5.556,396,5248,7.016,0.791806958473625,0.3594215655429668,2.1731436513472486,0.43238539293065825,1.3813366928736235,0.7878317786557524
134,Computing and Software Systems,TWO OR MORE,42,676,5.85,396,5248,7.016,0.8337131763315607,0.6196806817570626,1.144295317152994,0.21403249457449813,0.3105821408214332,0.2719811620039717
135,Environmental Studies,TWO OR MORE,1,21,4.545,396,5248,7.016,0.647842056932966,0.2018819453422497,4.467070420460111,0.44596011159071636,3.8192283635271447,0.9478528486941304
136,Accounting,TWO OR MORE,2,20,9.091,396,5248,7.016,1.295684113865932,0.4899774123030867,5.109874326064075,0.8057067015628454,3.8141902121981426,0.4429477231432575
137,Master of Fine Arts in Creative Writing and Poetics,TWO OR MORE,2,21,8.696,396,5248,7.016,1.2393500219587175,0.46767878555850445,4.907604577776704,0.771671236400213,3.6682545558179864,0.48850018346033264
138,Physics,TWO OR MORE,1,24,4.0,396,5248,7.016,0.5701010101010101,0.17698291327001603,3.9671457555079863,0.3931180968309941,3.3970447454069763,0.8236162355281794
139,Electrical Engineering,TWO OR MORE,10,170,5.556,396,5248,7.016,0.791806958473625,0.45698579006960444,1.500935159567213,0.3348211684040206,0.7091282010935879,0.5343521825351665
140,Business,TWO OR MORE,46,696,6.199,396,5248,7.016,0.8835797326363364,0.6644430119442452,1.1962867583374959,0.21913672069209122,0.3127070257011595,0.44413577687742656
141,Education,TWO OR MORE,16,152,9.524,396,5248,7.016,1.3573833573833574,0.8730618281458576,2.2260406847620366,0.4843215292374997,0.8686573273786793,0.16409287631117186
142,All Majors,TWO OR MORE,396,5248,7.016,396,5248,7.016,1.0,0.8743955554244888,1.1436471672303214,0.12560444457551123,0.14364716723032145,1.0
143,Mechanical Engineering,TWO OR MORE,4,91,4.211,396,5248,7.016,0.6001063264221158,0.2709395881082014,1.6614690516124029,0.3291667383139144,1.061362725190287,0.3883631359877484
144,Nursing,WHITE,83,92,47.429,1605,4039,28.437,1.6678308856252784,1.424395092312506,1.9643715766586272,0.24343579331277243,0.2965406910333488,3.517201418685327e-10
145,Business (MBA),WHITE,26,55,32.099,1605,4039,28.437,1.128756586285143,0.8338713520200579,1.5672184774566498,0.29488523426508506,0.4384618911715068,0.4057993967419464
146,Biology,WHITE,63,119,34.615,1605,4039,28.437,1.2172537742631202,0.9986734458043339,1.4984321325537098,0.21858032845878628,0.28117835829058957,0.05151799955765166
147,Psychology,WHITE,59,115,33.908,1605,4039,28.437,1.1923801339205786,0.9713478841277027,1.4794757076547014,0.22103224979287595,0.28709557373412276,0.09119406180700529
148,Chemistry,WHITE,16,24,40.0,1605,4039,28.437,1.4066043613707166,0.9857250476689651,2.0814366209915955,0.4208793137017516,0.6748322596208789,0.05948933075768043
149,Master of Policy Studies,WHITE,7,4,63.636,1605,4039,28.437,2.2377796658170492,1.5004837848426722,3.5040134564250813,0.737295880974377,1.266233790608032,0.00012532366406763532
150,Mathematics,WHITE,26,50,34.211,1605,4039,28.437,1.2030168880144287,0.8927541673113445,1.661454152677283,0.31026272070308425,0.4584372646628543,0.21348801607957657
151,Mathematical Thinking and Visualization,WHITE,13,59,18.056,1605,4039,28.437,0.6349255797853929,0.40391160333838627,1.0611761954970484,0.2310139764470066,0.42625061571165557,0.08561457426621304
152,Computing and Software Systems,WHITE,197,521,27.437,1605,4039,28.437,0.9648365570683538,0.8521957650222539,1.0959088148914906,0.11264079204609989,0.1310722578231368,0.5942768327011092
153,Environmental Studies,WHITE,17,5,77.273,1605,4039,28.437,2.7173038799207023,2.184200297306779,3.4234152127659456,0.5331035826139234,0.7061113328452433,1.71440856374567e-18
154,Accounting,WHITE,7,15,31.818,1605,4039,28.437,1.1188898329085246,0.6524393000044026,2.1053510746201765,0.466450532904122,0.9864612417116518,0.5953572116619092
155,Master of Fine Arts in Creative Writing and Poetics,WHITE,13,10,56.522,1605,4039,28.437,1.9875931193281864,1.4227064382097823,2.867304659935014,0.5648866811184041,0.8797115406068277,8.424791080687478e-05
156,Physics,WHITE,8,17,32.0,1605,4039,28.437,1.1252834890965733,0.6759054446460884,2.0322148137709624,0.4493780444504849,0.9069313246743891,0.5719675552469732
157,Electrical Engineering,WHITE,50,130,27.778,1605,4039,28.437,0.9768085842852199,0.7755459785134461,1.2475648465524585,0.2012626057717738,0.2707562622672386,0.8917944993319835
158,Business,WHITE,198,544,26.685,1605,4039,28.437,0.9383681386502759,0.8285792497642005,1.0661718383680088,0.10978888888607541,0.12780369971773287,0.33518060361074964
159,Education,WHITE,78,90,46.429,1605,4039,28.437,1.6326657765910104,1.3861555356952222,1.9353672920875962,0.2465102408957882,0.30270151549658575,6.832479024212039e-09
160,All Majors,WHITE,1605,4039,28.437,1605,4039,28.437,1.0,0.9431622198376393,1.0602629950255482,0.05683778016236074,0.060262995025548216,1.0
161,Mechanical Engineering,WHITE,35,60,36.842,1605,4039,28.437,1.2955566486309231,1.0036789202218135,1.7017684963985658,0.29187772840910964,0.40621184776764263,0.046897271925752375
